(       32828) [NioProcessor-58     ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:04,535]
(       33407) [NioProcessor-70     ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:05,114]
(       33500) [NioProcessor-77     ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:05,207]
(       33547) [NioProcessor-89     ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:05,254]
(       33860) [main                ] INFO  [8T->8S->R] Comenzando mediciones                                                                                         | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets(TestDePerformanceConSockets.java:234) [2012-07-04 21:22:05,567]
(       43860) [main                ] INFO  [8T->8S->R]: En 10000 ms se enviaron 233102 mensajes y se recibieron 104623                                               | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets(TestDePerformanceConSockets.java:249) [2012-07-04 21:22:15,567]
(       43860) [main                ] INFO  [8T->8S->R]: Delivery:44.88292678741495% Input:23.3102 msg/ms Output():10.4623 msg/ms                                     | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets(TestDePerformanceConSockets.java:252) [2012-07-04 21:22:15,567]
(       43860) [main                ] INFO  [8T->8S->R] Fin                                                                                                           | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets(TestDePerformanceConSockets.java:255) [2012-07-04 21:22:15,567]
(       44360) [NioProcessor-96     ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:16,067]
(       51969) [NioProcessor-108    ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:23,676]
(       52391) [NioProcessor-120    ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:24,098]
(       52469) [NioProcessor-127    ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:24,176]
(       52532) [NioProcessor-139    ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:24,239]
(       52610) [NioProcessor-146    ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:24,317]
(       52672) [NioProcessor-158    ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:24,379]
(       52688) [NioProcessor-170    ] ERROR Se produjo un error class org.apache.mina.core.write.WriteToClosedSessionException: null                                  | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets$1(TestDePerformanceConSockets.java:132) [2012-07-04 21:22:24,395]
(       53157) [main                ] INFO  [16T->16S->R] Comenzando mediciones                                                                                       | at net.gaia.vortex.sockets.tests.TestDePerformanceConSockets(TestDePerformanceConSockets.java:234) [2012-07-04 21:22:24,864]
